Comment,Designator,Footprint,Quantity,Voltage,Value,PartNumber

"Tantalum Case-A","C1, C10","SMC_A","2","16V","10u","CA45-A016K106T"
"C-EUC0402","C2, C4, C6, C8","C0402","4","16V","470n","CL05A474KA5NNNC"
"C-EUC0402","C3, C5, C7, C9, C12, C14","C0402","6","16V","100n","CL05B104KO5NNNC"
"C-EUC0402","C11, C13","C0402","2","16V","10n","CL05B103KA5NNNC"
"FM-B2020RGBA-HG","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L40, L41, L42, L43, L44, L45, L46, L47, L48","RGB_2121_FM-B2020RGBA-HG","48","","","FM-B2020RGBA-HG"
"600R@100MHz","L49","L0805","1","","","CBW201209U601T"
"600R@100MHz","L50","L0402","1","","","CBG100505U601T"
"Header 6HSMD","P1","0532610671","1","","","C132522"
"R-EU_R0402","R1","R0402","1","","100k","SY0402JN100KP"
"R-EU_R0402","R2, R3, R4","R0402","3","","4k7","0402WGJ0472TCE"
"R-EU_R0402","R5","R0402","1","","20k","RC-02W2002FT"
"IS31FL3737","U1","QFN40P500X500X80_HS-41N","1","","","IS31FL3737-QFLS4"
